ActionPriceListRestrictionUse;RIWTY30HVLF41AEN4UHKWAEEFC
Dodavatelský ceník;SW4KAGZK2GG4FAOSLCUHASNQL4
Docházka - Definice přenosu do mezd;CQCEUJNGDM44P550OFNNBEI4LS
Docházka - Druh činnosti;3PWDNB2QORKOLCLAJQAHZQIALC
Docházka - pracovníci;GE1X23OEECUOF32YRZ11U0EN2G
Docházka - Přehled docházky;WHSKSXIKZ3XOVDKLMNKHPBKCSK
Docházka - řádek uzávěrky;FGLWS5GUXP3OZECFKMRDWK0IUO
Docházka - uzávěrka;UII0UEPYXZ54TGFPO3OKSEHTSK
Doklad ELDP;FWYTJAQ1COH4DGF433R5D4ZNP4
Doklad k serv.listu;55M1I2VZTF24B3PMVQHTUPX1RO
Doklad reverse charge;XCBZKJFXQOR4B41FSW0E3SIGNO
Doklad reverse charge - řádek;DZXHVYD4EYG43H4XOC512DGQVW
Dokončený výrobek;VXZNUMLJMCTOPC12DQELHBUYFO
Dokončený výrobek - řádek;PXHQP3M5HYI414S2WWZEFIQB2O
Dokument;05UWJSK233DL3CBW01K0LEYWLS
Dokument;GAMJ5NQHOZ2OFHL1VV3ISBVUVG
Doručená datová zpráva;0CFZ0FI1I4KOHAVHPC2IYGOSLG
Doručený e-mail;B2CGMDYWJKJ4JGEYWBGONOS4H0
Došlá pošta;UZVZZEWNADW4BHRYYH5UL1SJMS
DPH index;04OGVINDGZD13FY1010DELDFKK
DPH registrace v zemi EU;FUO2QHI1WRV4ZAHYK532BTYPH4
DPH registrace v zemi EU - řádek;TTDJNMNDDQO4BGSHMDJTMKMPI0
DPH registrace vlastní firmy;QTTR3ESE4FP4BCTMHIE3FGYFVG
DPH sazba;ZSHD5MXH4Z24J0H2Y2R2VUZPEG
DPH sazba skl. karty;M3I3RUTWW0LOV0SI4FCAKJAYZO
Druh dopravy INTRASTAT;0IF4AZ1LYGJOJDJD5MMXIIS0JK
Druh dovolené;YQBWF5A23ZF13FG501C0C2VN0K
Druh majetku;W21AW4Z3AJEL31ME00C5PPBIWO
Druh nemocenské dávky;OBF2YY1J4RF13FG501C0C2VN0K
Druh nepřítomnosti;0JWZPDNT4ZF13FG501C0C2VN0K
Druh PHM;ZS0YYHT0P234FDARLB02ORE01O
Druh pracovní směny;IUJRYG0W2QO4P4EVGKFTY3RUOO
Druh pracovního poměru;4TLNCJ4XS3BOBHD4SQGQQFIHHK
Druh srážky;00T5YQLD4FF13FG501C0C2VN0K
Druhy pojištěnců státu;Q4HFMXW0MAVODHK4J3TAMIHIR0
Druhy výkonů;5CDJJUZCD3TO1DWAOHINSMP2MW
Duální zobrazování;Q0KZ1JU5II5OZIHR5DTPUJFRM0
Důchodová správcovská společnost;1H0N4OZHULWOHECAQT32KXRN2S
Důvod neúspěchu nabídky;ENADIDXGPNG455B5NIEXVOCBCW
Důvod neúspěchu oslovených dodavatelů;NWKGNMMAWUYOFBKUPKCGXRW0A0
EAN kód;INAGBOXEEW14ND0OFCQTJ5PH20
E-mailový účet;MNDZIWXQFTVOX5IUPJCCCB5250
E-mailový účet odchozího serveru SMTP;42QVH4Z5A0U4TFOLDVNITI1X4O
Etapa;CWZXHJPRJFDOFBQI04IH1H4TZK
Evidence času k CRM Aktivitě;35YOTP3OM404LBN2C0BXGQI1E4
Evidence času projektové dokumentace;BDP1DNXF5YBOVGF5U4PZGAF2GO
Evidence země v EU;5RB1WWGPTEF4RBC5VKEP1Q3GZ0
Export;G1DIZ13KWVEL3C5W00CA141B44
Faktura přijatá;42HE04FZGJD13ACM03KIU0CLP4
Faktura přijatá - řádek;4AHE04FZGJD13ACM03KIU0CLP4
Faktura vydaná;O3BDOKTWEFD13ACM03KIU0CLP4
Faktura vydaná - řádek;OBBDOKTWEFD13ACM03KIU0CLP4
Finanční kategorie;0EPJQKDQJ5H411JPYAFE2ZOKHO
Finanční sleva;05RZTVCHYRDL3C5P00CA141B44
Firemní data;0CPINES1ZJDL3C5P00CA141B44
Firma;4K3EXM5PQBCL35CH000ILPWJF4
Firma osloveného dodavatele;QJJMXJZCE22O1FARGBDZX1T1YC
Fond pracovní doby v daném roce;CJ1QAZ1U1C34HD5Q3KZR4EOKLC
Fondy pracovní doby pro týdenní úvazek;VUTPFUKUARU4DDRYPYMXON5DES
Fronta souborů;33WP0EDSGEU4TCMHYPHE2U4314
Fulltextové hledání - definice;ID2ENZQXR4PO5IKZWOYSKMATM4
Fulltextové hledání - definice položky;QMXKLU1YWO4ORBZBEZE2YTG1WS
Funkce zajištění zdrojů;MRCZZG1CS544NG3GS1DOFWPGEC
Globální data;S1JGT1KMZJDL3C5P00CA141B44
Globální proměnná;0RTFXRQHFNIO3BBR02APINRKPS
Historie změn odpis.skup.;EMVLY1YAPGKODECAEM0H4GSDMS
Hlavičkový objekt;051DUSC0DBDL3ACT03KIU0CLP4
Hlavní inventární protokol;KGKSPD2IGUXOV3V2JN0IILOSRG
Hlavní inventární protokol - pozice;IRJ4XNQHUSIO3H0JR2KR1SWJC4
Hlavní inventární protokol - řádek;GMWHU0T5VA24512H254OBXCPBG
Hlavní inventární protokol - šarže;1HABDJDLP5BON5ZQGTUQI0EUCC
Hlavní kniha;4LT1FT4K4GZ41DGSIPWMVTQLYK
Hodnocení k výsledkům schvalování dodavatele (pouze paměťový BO);5LOCAPJAJLTOBBRQGTQEB4QXLS
Hodnocený dodavatel;E4X5MPBYBS44HC0FTXHCUTOZOC
Hodnota globální proměnné;KRSP5UF1PTHO5DDL4Z0G1CMXOW
Hodnota proměnné kampaně;R15O4MKYU4P4DI2UFOU3NV1TZW
Hodnotící kritérium;R0LWHLAXOTSOVHXWU11U2WHOLW
Hodnotící kritérium - datové zdroje;5LYT0FNXYKXOL1JXVPCTLDLQ4C
Hodnotící kritérium - popisy bodového hodnocení;2YRDMKPLGSVOV4QCI23CFJVNT4
Import;S0ICJ5VMWZEL3C5W00CA141B44
Import do Nemocenských dávek;MJB4FTPPLVH4HEIECIAPYPFHUO
Import do Nepřítomností;BRBTQLB4EV34J5JSDZSKQOIPZW
Import do výkonů;54YZDCSTL5H4B2YIKS2BHFRQM0
Instalační sada;W4HBPDUHWDY4RDRSIHBWXD1F2S
Instalační sada - řádek;PLXIMUGJZVU4F5CMBXT5VPQ5WG
Interní doklad;KEXFTIIK4ZD13ACL03KIU0CLP4
Interní doklad - řádek;4C1RM4CYCZD13ACM03KIU0CLP4
Inventární manko;2T0I5SAOS3DL3ACU03KIU0CLP4
Inventární manko - řádek;310I5SAOS3DL3ACU03KIU0CLP4
Inventární přebytek;2D0I5SAOS3DL3ACU03KIU0CLP4
Inventární přebytek - řádek;2L0I5SAOS3DL3ACU03KIU0CLP4
Jednotka skladové karty;G2WVAN4GFNDL342T01C0CX3FCC
Jednotný správní doklad;CVBIFJVTHJDL3BLX00C5OG4NF4
Jízda;VYFN3URYQAWON0DRKKWF4014EK
Kampaň;2JCEDZ0E4PVODHQFIYTWJINVP0
Karta drobného majetku;4E4R1JFNBREL31ME00C5PPBIWO
Karta majetku;S0ODIDCD1NEL314Z00C5PPZRR4
Karta majetku na leasing;0BLOZYUO5NF1315100C5PPZRR4
Kasa pokladního prodeje;40SZSH0SANEL3JY400C5PPZRN0
Kategorie dokumentu;NK0Q4EQET4HOPEYEMHGAGI4VN4
Kategorie řidiče;PE2WQV2LTPVOZEZBITHENQVGCG
Kategorizační údaj;LNMN402BS2ROZIQC1IK1UQVOKW
Klasifikace zaměstnání;LJATP2JOI5HOF3QBN4PM50COUS
Klasifikace zaměstnání ISCO;LT3EFJCBXXM43EEZZI00NX4VPW
Kód PP pro ČSSZ;AXY01QBDRDI4V3NEXJXCA1FCWS
Kód typu plnění;GPNLRNS45JO4X0JEYKW0P0KEB4
Kombinovaná nomenklatura;0DD0C5LW4R54N4LUDW2VJG33P4
Kompletační list;SYBADG2LWAV4N3RFIXDFA12UF0
Kompletační list - řádek;BAUOOHDXMQK4N5OMLU40YBTNV0
Konfigurace periferií;DLZ5TJQXD3BON1UO32QPXS5OLG
Konstantní symbol;4Z5FINKNYNDL3C5P00CA141B44
Kontrola nespolehlivosti plátce DPH - Firma;HTPSZVHNHAN4H1IPJIASZYFDBG
Kontrola nespolehlivosti plátců DPH - Bankovní účet;EXSSRJXL0PUODIQ2YBRX4EAMV0
Kontrola nespolehlivosti plátců DPH - Protokol;ABLLBFOSG5V4XFJKNRJDRMFBSO
Kontrolní bod;TM5TEPG1HSGORFQPKWMJPNNBMC
Koop. - sériové číslo;VI3XOBL5X5ZOHJW5TET0DBRB1S
Koop. - technologický postup;QTLRTTKGY2Y4NAKL0SZAAGRGL0
Koop. - vyráběná položka;B4OWQU11H3HORAMUYXFB3U2DPK
Kooperace;ZNJNWH3UCWTOPHPQZM2UZTEOG4
Kraj;OISEBIIXHOG4P5HVENWQOZT5BW
Krok procesu;BI2G1QCE021OXBQUM3UYAM0OWS
Kurzovní lístek;W3AWZR451FD133N2010DELDFKK
Kurzovní lístek - historie;O5WJQR00YZCL33N2010DELDFKK
Kurzovní lístek INTRASTAT;201MMXDUCKY4H02YMS22CBGPWC
Kurzovní lístek INTRASTAT - historie;ZYE0GEVWOBU4L45EQ4IQBNZ2GG
Kurzový rozdíl;W3MYVWZEINDL342V01C0CX3FCC
Kurzový rozdíl aktivní a pasivní;G2HP1GAHMFDL342V01C0CX3FCC
Kurzový rozdíl bankovního účtu;O0YMQ3PZONDL331C00C5OG4NF4
Kurzový rozdíl pokladny;41WX24AEP3DL331C00C5OG4NF4
Kusová sleva;GX410BIPBBDL3CL100C4RHECN0
Kusová sleva - řádek;O1ODD3YXBBDL3CL100C4RHECN0
Kusovník;031N4GRZ4OT4TC5LYFK2WV1IFS
Kusovník - řádek;DLZDMEK40CKO32JT0TLTSGNUPK
Limit vstupní ceny;O4KDPWBWBFEL31ME00C5PPBIWO
Majetek - související výdaj;SBZHQRUJ3FF131MF00C5PPBIWO
Mapa prodejních míst;BBH4OK0KIXA4HJBSD4VJX2G41S
Měna;4R5FINKNYNDL3C5P00CA141B44
Měna - historie;4V5FINKNYNDL3C5P00CA141B44
Měna - hodnota;C0VETFXZ5REL3C5V00CA141B44
Měsíční odpis majetku;O0NU0ELKGVEL315000C5PPZRR4
Měsíční údaje firmy;WUFEXZDCWMMOB14HGPMXX2ZI2O
Měsíční údaje pracovního poměru;VJ1DJ2KXJ1FOF1BNB2SKK50KF4
Metadata kategorií;NX5NUKIXEVXO1JINNVCCKEFZCO
Mez pro pohledávky a závazky;FFO2D1OAS4B4D2AT42SC0IX1YK
Místa;TSJFIFXESRUOT1PIGEI1H3M2F0
Model servisovaného předmětu;0V2WGE4TCA5OTCLTRY4MKZOZA4
Montážní list;I3CRLLN3XYVO30ZDQ2WB4CRZW0
Mzdové období;QUCSC0QN3JF13FG501C0C2VN0K
Mzdový list dílčí;W1ZICXOZCBF13JXS00KEZYD5AW
Mzdový list souhrnný;G2POM1Q3C3F13JXS00KEZYD5AW
Nabídka vydaná;LN2RG42OWZVODHSAIXNA5PY1PS
Nabídka vydaná - řádek;QUKRMP2B4GN41IJGBQOQGY1GEC
NACE kód;GEPU3UY3U2POB4VWN4FIPOAQEG
Náhrada mzdy;R0XBLZOPCZN45D303CPPRLW5GO
Náhrada výdaje;TA10JVNDGEPOJHUJBRI3RJVD2K
Naplánovaná úloha;GSOF0GVELBCO50DTXAWJRL5K1W
Naplánovaná úloha - adresát;QRTYLEJRR0D4ZDPDCB4DBC4HJW
Nárok na dovolenou;QLZ30WIK3YA4R5CRL0BJTALUGG
Nasklad. a vysklad. místo;5ARC31CSJPGO3DJOCYABA5YLVC
Nasklad. a vysklad. místo - řádek;DCEXGECF3LEO1IV41FTF0Z10FC
Naskladnění do pozic;AAGUVTRZU4EOT0AOVQMU2DY300
Naskladnění do pozic - řádek;NN1LJOKSWNI4DIFQKYMV1DXHW0
Nastavení automatizačního serveru;FMRFIUNN3CZOR1QA2VMSJUROKW
Nastavení gastrovýroby;KUQZLWE1YT54BDKWGCJD502AYK
Nastavení kompletace;RU3OXKZ5H4SOND5URZZZMOXQYS
Nastavení nasklad./vysklad. z pozic;LEM4IDCV5154V4EHTEWUYT14PW
Nastavení parametrů mezd;WLA42TQ3DEIOR2HWF1HTQJGA5O
Nastavení Polohovaných skladů;USE5RD3FXB0OVEURAFZSTE255G
Nastavení provozu;IA1FJIDJU2L4X1POMMT4N5M30K
Nastavení SCM;N53DXMVUSZZ451LR1L12IICKAS
Nastavení schvalování výdajů;KE0L4TWHQ4Z433NJDHNZYXSXXK
Nastavení sledování změn;5HGPJO0V3C04NBL0KGIBMPVBY4
Naturální příjem;AMLJ3S3VZRQ41EJNKCVTR4CFH4
Návaznosti obchodního případu;VGAMNCYZSLOOBBD4202FPRK2JW
Návaznosti projektu;A2HBNKZQNN4OJ2PLC4TGOPED5S
Návaznosti zakázky;BAFBDEGYIB44VHWO4QQP4HTND0
Nemocenská dávka;WGY0I0KF1NEL3JB401C0C2VN0K
Nepracovní časy rolí;VAQ0EVDD2LSOP2FMQKCR1IJJ1S
Nepřítomnost;RWSHOFSZTBKOVJ341GPZDOBV2W
Nerealizovaný kurzový rozdíl;JSH5ISOJMXEO3HOK4TMGEDPAAO
Neúčtovaný vklad do pokladního místa;OODV4ZPDOHM4F0IDAHKMYFK5DW
Neúčtovaný vklad do pokladního místa - řádek;MHICOVWXMC24FA0TOSJOSW1JBC
Neúčtovaný výdej z pokladního místa;2TQFJT1WVYY4V3J5ZIXCGLOY4G
Neúčtovaný výdej z pokladního místa - řádek;JLL3QVGZPRNOH4COGTUHN34MCW
Norma gastrovýroby;BHMHM3KPLNW4FIWDP5JSYAL04G
Norma gastrovýroby - obrázek;KVXJBVCW4SM4Z5MJFL4BZF2QS4
Norma gastrovýroby - řádek;FNDFER2IKX4OBDLFBZY3IZLF0C
Norma kompletace;MMGX3NQ3TOROBBE2Z5RWMYAAOG
Norma kompletace - obrázek;ZTHHEXZ1VFM4NFFNJPWCFJWEAG
Norma kompletace - řádek;WV1AXLTZ0ZP435VUJ4ITWSZDNW
Notifikace stavu serv.listu;BH1XPKABSKV431IP2SSXO1YO0K
Obal k jednotce skl. karty;O0QRYVAPKREL3C5V00CA141B44
Období;CAQPAYUOXVCL3ACL03KIU0CLP4
Období pojištění;1EM52VG4Z32ORIQ2KQG4HCH21O
Období zvýšení ceny karty;452O53ANYJEL31MF00C5PPBIWO
Období zvýšení ceny prvku;O4UCSIII0RF131MF00C5PPBIWO
Obecné pracovní pozice;2ZJ12WI0TVMOJIS1U0BDKICMD0
Obchodní případ;KAWTYL304VD13ACL03KIU0CLP4
Obchodní případ - bilance;5R34LTZNFFY411NTNQIOK0NDNG
Obchodní případ - kontrolní bod;0RJETWY2H3POHEG4ZEJVVAJT04
Obchodní případ - řádek vyúčtování fakturace;LS1IMCO3FGVOVDHAL444JV3YIW
Obchodní případ - vyúčtování fakturace;3K3VG1DEKSKODFQFZ0ISYSJYDK
Obchodní případ - zdroj;CAT0IRIYRGCOXBSONEVOXTIUS0
Objednávka přijatá;01CPMINJW3DL342X01C0CX3FCC
Objednávka přijatá - řádek;05CPMINJW3DL342X01C0CX3FCC
Objednávka vydaná;CDMK5QAWZZDL342X01C0CX3FCC
Objednávka vydaná - řádek;CHMK5QAWZZDL342X01C0CX3FCC
Objekt definovatelného číselníku;LZ42TSK2QK5OT00WR2U5RSDVQ0
Oblast aktivity;N53352D4AKB43AMHHSYG1UKFVW
Oblast hodnocení;1HRYJ02A30G4PEOQBH5RBFICT0
Oblast hodnocení - hodnotící kritérium;OYN1DXIU03W4DEK5OAH4KYNZPK
Oblast hodnocení - skladová karta;3B330HWGDUY4Z1O5VQRD20IS5K
Oblast hodnocení - skladové menu;1JHULFMZADVOTDKE3XHZ0SZZBW
Obor činnosti NACE;CQNCHW0PITU4NDUX4MPP340IJC
Obor vzdělání;5CA2WEAUBGQ4RC40VXSM4OYJF0
Obrázek drobného majetku;0JHWOYRTYBRODESJL2YMI44GBC
Obrázek k CRM aktivitě;CCLLH0VEKPCOFJA3NUGMMPYRDW
Obrázek k firmě;DDAUUZV3X2B4L1XYMTCIO01XMO
Obrázek k osobě;0P030WWSAN54ZBUSRIMUFXOUV4
Obrázek k serv.listu;CEH32EVDAXMOTEFHI25MHW5EIS
Obrázek k serv.předmětu;WM1J4UMF03E41JFBIVD513MIJC
Obrázek k servisní knížce;T4YXUNR4Z53O11MYLEVYGAK04W
Obrázek ke kusovníku;PW0VGGOEYKJ4T0MRUG5VBHOLVS
Obrázek ke skladové kartě;C03HFKOASUP4J1D3KKGVQGAING
Obrázek majetku;NGOWGYNU5ZRORFQTINW0O5BW1G
Obrázek technologického postupu;QUOVDLXXFSL4JITNJV2ZTWGLD4
Obrázek technologických postupů;KCBDEFEPAYUOZ3D0GK3URSGKIO
Obrázek zaměstnance;FOHO1MV12RIOVGX3VOWKQORLCS
Obsah dokumentu;LH2IALFEDXL4HAPQMPI2WVA0WC
Obsah odeslané datové zprávy;VIWO4QCHK3KOPEEVBDGCSHLO34
Obsah přílohy;LZVT4Z2KLXUOTB4TQEPZBAGZ1W
Obsah přílohy;NUDTXZFOQUJOJJ0EVSTTGN4NPS
Obsah přílohy;HATUIKRVSBW4NHPEWE5B5RSADC
Obsah skladových pozic;13UCZ53ESSMO3EJSIKWGKQMGDO
Obsahy doručené datové zprávy;QTLVPB3YUR2OJ3MA3PO3M1VKOS
Obsluhující;W3YQ0EKOTRD4XA1S01442DSEYS
Odběratel;W5U50LCWKJDL331C00C5OG4NF4
Odesílaná příloha;JMVBR1NECUV4FAY135EBMS3VJS
Odeslaná datová zpráva;XGVM2F1JTBW4TH2W0R0CXIMVL4
Odeslaná pošta;EFMK3ZXZQGE4B1SSCYEBDGMCCK
Odeslaný e-mail;5C1HWDQDR3J4NAAYZRO5PWHLWK
Odkaz;SW4KXS4WANGOLJEV4NNSPW4WIO
Odpočet k roč.zúčtování;BETNREXAT31O1E54FGV1SMBQFO
Odpočet/sleva;0SJ50I1FTIY4BAQ3UX02NLBLCK
Odpovědná osoba;0AHQJ5OLAREL31ME00C5PPBIWO
Okres;0VN14W4ZYX44DBV5T35KFDWNRS
Opakovaná platba;G1FRMRJCC3DL3CL100C4RHECN0
Opakovaná srážka;S3K2DOKS4FF13FG501C0C2VN0K
Operace k serv.listu;COZZ5C4MSS4OTDMEDFHDATCTCS
Operace pro webovou službu;YDIHWNIPQY44V2SRH45QHHUS3G
Operace pro webovou službu - parametr;M3HRPKRIDFG4JH33TVCCXSOEB0
Oslovený dodavatel pro poptávku;YIGWPZYC04BOH1FWMDNZN10VTW
Osoba;WEC02QYERNCL35CH000ILPWJF4
Osoba ve firmě;JZ22ZRJ0NNU4B10XV5SWGOHYR4
Ostatní příjem;0LHHWWVMXVD13ACQ03KIU0CLP4
Ostatní příjem - řádek;0PHHWWVMXVD13ACQ03KIU0CLP4
Ostatní výdaj;1DHHWWVMXVD13ACQ03KIU0CLP4
Ostatní výdaj - řádek;1HHHWWVMXVD13ACQ03KIU0CLP4
Parametr Knihy jízd;NEYLSCKLANCO155YQLDXBDS3I0
Parametr majetku;01BWFQPTJFEL31ME00C5PPBIWO
Parametry řady požadavků na výrobu;BCQ0VT53OKY450HYXL00OHKT1G
Parametry řady výrobních příkazů;ZBNXQPJWDFFOB4C3WNIJXNLVNK
Periferie;M5THTEMNW1Y4T3S1I2TWCKQJYC
Placený svátek;W4FDWO3T53F13FG501C0C2VN0K
Plánovaná směna;4K15LD3MAFF13FG501C0C2VN0K
Plánovaná verze vývojového produktu;ACAXFYO2RVP4B5AWMMW0SKRGOK
Platba;SDMO2VEIARDL3CBW01K0LEYWLS
Platební příkaz;K53SX0HB4NDL3BLX00C5OG4NF4
Platební příkaz - dílčí platba;11RQXXJVFCIOFD33AZZCVQXZS4
Platební příkaz - řádek;KH3SX0HB4NDL3BLX00C5OG4NF4
Platnost DPH sazby;MIBAVSMYRE241EKLFX1RGQV4DG
Plochy;2WBKIGONYQXOPIK1KY4R3CPBUS
Počátek bankovního účtu;S5DAHWVT5ND133N4010DELDFKK
Počátek pokladny;SHDAHWVT5ND133N4010DELDFKK
Počátek účtu;WAWCQJWTAJD132VA02K2CQM5AW
Počet zaměstnanců;TC30UCFMUOL4P4KZ1NRAULD55S
Podání INTRASTAT;YIEPQZWZJYX4FDHVAHCMCNFA2G
Podklad pro PLP z mezd;RXYXLHQNTDEORECW0SOCWCGMB0
Pojmenovaná maska;UT5EX0UMTNUOXII2BZPRNXN1QS
Pokladna;SDDAHWVT5ND133N4010DELDFKK
Pokladní DPH Index;NXGLPC1EEOGOZCDFITUON2PQGC
Pokladní místo;43QOWY2O53EL3JY400C5PPZRN0
Pokladní místo - povolená měna;YR1MN224PXT45CQOT22VQH1IY4
Pokladní příjem;WG02MSU3BBDL3ACR03KIU0CLP4
Pokladní příjem - řádek;WK02MSU3BBDL3ACR03KIU0CLP4
Pokladní výdej;0RXJZGDLBBDL3ACR03KIU0CLP4
Pokladní výdej - řádek;0NXJZGDLBBDL3ACR03KIU0CLP4
Polohovací doklad;US4YUQ1CNAHO1CDZWWC2RWL304
Polohovací doklad - řádek;2PNJ1C4NAN0O35ZVLH3QJLHMMG
Položka akčního ceníku;3QVZQ5IBKSPOL1VB2SNC0S3XMO
Položka ceníku;GDYLVQXQ3FE13DQC01C0CX3F40
